Absolute path,Relative path,Class name
C:\Users\nasty\ap_laba2\dataset1\rose\0000.jpg,dataset1\rose\0000.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0001.jpg,dataset1\rose\0001.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0002.jpg,dataset1\rose\0002.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0003.jpg,dataset1\rose\0003.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0004.jpg,dataset1\rose\0004.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0005.jpg,dataset1\rose\0005.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0006.jpg,dataset1\rose\0006.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0007.jpg,dataset1\rose\0007.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0008.jpg,dataset1\rose\0008.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0009.jpg,dataset1\rose\0009.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0010.jpg,dataset1\rose\0010.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0011.jpg,dataset1\rose\0011.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0012.jpg,dataset1\rose\0012.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0013.jpg,dataset1\rose\0013.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0014.jpg,dataset1\rose\0014.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0015.jpg,dataset1\rose\0015.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0016.jpg,dataset1\rose\0016.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0017.jpg,dataset1\rose\0017.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0018.jpg,dataset1\rose\0018.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0019.jpg,dataset1\rose\0019.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0020.jpg,dataset1\rose\0020.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0021.jpg,dataset1\rose\0021.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0022.jpg,dataset1\rose\0022.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0023.jpg,dataset1\rose\0023.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0024.jpg,dataset1\rose\0024.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0025.jpg,dataset1\rose\0025.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0026.jpg,dataset1\rose\0026.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0027.jpg,dataset1\rose\0027.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0028.jpg,dataset1\rose\0028.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0029.jpg,dataset1\rose\0029.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0030.jpg,dataset1\rose\0030.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0031.jpg,dataset1\rose\0031.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0032.jpg,dataset1\rose\0032.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0033.jpg,dataset1\rose\0033.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0034.jpg,dataset1\rose\0034.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0035.jpg,dataset1\rose\0035.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0036.jpg,dataset1\rose\0036.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0037.jpg,dataset1\rose\0037.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0038.jpg,dataset1\rose\0038.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0039.jpg,dataset1\rose\0039.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0040.jpg,dataset1\rose\0040.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0041.jpg,dataset1\rose\0041.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0042.jpg,dataset1\rose\0042.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0043.jpg,dataset1\rose\0043.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0044.jpg,dataset1\rose\0044.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0045.jpg,dataset1\rose\0045.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0046.jpg,dataset1\rose\0046.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0047.jpg,dataset1\rose\0047.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0048.jpg,dataset1\rose\0048.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0049.jpg,dataset1\rose\0049.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0050.jpg,dataset1\rose\0050.jpg,rose
